<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20150928,000000,331.9000000,332.2200000,330.6500000,331.4900000,6323513479
20150929,000000,331.8500000,331.9200000,331.0200000,331.6900000,4951849948
20150930,000000,332.4300000,333.1900000,332.3400000,332.8200000,10900236224
20151001,000000,333.0200000,334.2300000,332.6300000,334.1600000,10170579703
20151002,000000,334.2900000,334.5400000,333.6500000,333.6500000,7270642908
20151005,000000,333.9700000,335.5900000,333.9400000,335.5800000,6307600690
20151006,000000,335.7000000,338.3100000,335.7000000,338.2700000,13690828821
20151007,000000,338.4700000,342.3000000,338.4700000,342.1100000,9225532655
20151008,000000,342.0500000,342.7500000,340.6600000,341.0700000,7652143875
20151009,000000,341.3800000,343.4100000,341.3800000,343.2800000,18899365196
20151012,000000,343.5100000,343.8000000,342.7600000,342.7600000,6931819105
20151013,000000,342.9300000,343.3300000,342.3100000,342.3100000,9977396402
20151014,000000,342.5400000,343.0500000,342.4200000,342.9200000,10196835054
20151015,000000,343.1900000,345.0700000,343.1800000,345.0700000,21527850931
20151016,000000,345.1200000,346.8100000,345.1200000,346.8100000,12628024218
20151019,000000,347.2600000,347.8700000,347.1800000,347.7800000,8790539837
20151020,000000,347.5200000,347.8300000,347.4700000,347.4800000,6979628675
20151021,000000,347.4200000,347.4700000,347.1700000,347.3400000,30783200973
20151022,000000,347.5600000,348.1800000,347.3200000,348.1800000,12519844384
20151023,000000,348.1300000,350.0200000,348.0700000,349.9600000,17522777136
20151026,000000,350.0700000,350.5300000,349.9300000,350.1100000,11629948180
20151027,000000,350.2100000,350.2100000,349.4400000,349.4400000,22243311398
20151028,000000,349.3900000,350.1900000,349.1100000,350.1900000,30143557578
20151029,000000,350.2800000,350.5500000,349.9000000,349.9000000,28432795797
20151030,000000,349.9700000,350.2100000,349.6400000,349.7700000,17504593655
20151102,000000,349.6300000,350.5000000,349.6300000,350.0600000,5366931324
20151103,000000,350.2500000,352.1400000,350.2500000,352.1400000,22207329922
20151105,000000,352.4100000,354.9500000,352.4100000,354.9300000,20441556044
20151106,000000,355.1300000,355.1800000,353.5400000,353.5600000,20307991885
20151109,000000,353.9400000,354.1300000,353.4500000,353.6100000,10285240297
20151110,000000,353.6000000,354.3400000,353.4600000,354.3400000,9301846428
20151111,000000,354.4000000,356.3400000,354.4000000,356.2900000,24814781562
20151112,000000,356.7800000,357.7400000,354.1100000,354.1200000,21208669665
20151113,000000,354.1800000,354.1800000,353.3200000,353.4500000,12025938885
20151116,000000,353.7200000,353.7500000,352.9800000,353.3600000,8714223447
20151117,000000,353.5100000,354.6600000,353.5100000,354.6600000,19892416108
20151118,000000,354.7900000,355.6600000,354.1400000,355.5500000,20511038981
20151119,000000,355.3100000,356.4400000,355.1600000,356.4400000,28985259491
20151120,000000,356.5100000,359.1700000,356.5100000,358.7300000,26358714088
20151123,000000,359.0100000,359.0100000,356.7100000,356.7100000,20755821739
20151124,000000,356.8200000,357.2000000,354.6800000,354.7400000,11543711860
20151125,000000,354.9400000,354.9400000,354.0300000,354.3700000,23361498860
20151126,000000,355.2000000,355.9300000,355.2000000,355.6500000,11739843798
20151127,000000,355.9100000,356.0700000,354.8200000,354.8200000,8745644330
20151130,000000,354.9200000,355.7400000,354.1900000,355.7400000,13244548763
20151201,000000,355.9700000,356.9200000,355.6800000,356.3800000,11941066723
20151202,000000,356.5500000,356.8100000,356.2900000,356.6300000,8828276838
20151203,000000,356.8000000,356.9400000,356.1400000,356.2100000,6762233121
20151204,000000,356.3500000,356.6900000,355.9800000,356.3500000,10123498440
20151207,000000,356.7600000,356.8700000,355.3700000,355.4100000,11532342014
20151208,000000,355.4800000,355.4800000,354.5700000,354.5800000,8127866937
20151209,000000,355.0200000,355.4500000,354.7900000,354.9100000,10788908859
20151210,000000,355.3900000,356.2000000,354.9500000,355.8700000,6420970662
20151211,000000,356.1300000,356.5800000,355.9900000,355.9900000,10974470160
20151214,000000,356.3200000,356.3800000,354.1000000,354.1300000,9182657051
20151215,000000,354.3000000,355.2900000,354.1600000,354.9600000,19388060704
20151216,000000,355.2500000,355.7900000,353.8800000,354.2400000,12894550979
20151217,000000,354.4500000,356.1800000,354.1700000,355.7400000,9466382215
20151218,000000,355.8600000,356.2600000,355.6800000,356.0700000,8971600908
20151221,000000,356.3000000,356.3800000,355.7100000,356.1000000,10371725123
20151222,000000,356.1800000,356.3800000,355.8700000,355.8800000,12886773277
20151223,000000,355.7400000,355.9200000,355.0800000,355.7800000,17089910669
20151224,000000,355.9000000,357.0700000,355.8700000,357.0200000,6140725124
20151225,000000,357.2400000,357.9400000,357.1500000,357.8000000,3223929995
20151228,000000,358.0900000,358.9900000,358.0900000,358.2400000,6714723087
20151229,000000,358.3200000,359.4500000,358.3200000,359.1900000,4903086377
20151230,000000,359.3500000,360.2400000,359.3500000,359.7100000,14738030588
20160104,000000,360.0800000,360.6500000,359.9600000,360.6200000,6680013
