TRADEDATE;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
11.10.2013;10300.04;10319.09;10371.61;10258.93;28871001517;;;2;6.16E+12;RUB;1000000
10.10.2013;10319.09;10201.19;10365.34;10171.79;35993964846;;;2;6.17E+12;RUB;1000000
09.10.2013;10201.19;10231.28;10278.47;10162.7;34067717142;;;2;6.10E+12;RUB;1000000
08.10.2013;10231.28;10050.37;10231.78;10031.96;40842841484;;;2;6.12E+12;RUB;1000000
07.10.2013;10050.37;9992.71;10057.51;9912.14;25583798877;;;2;6.01E+12;RUB;1000000
04.10.2013;9992.71;9866.92;9992.86;9822.12;24801563158;;;2;5.98E+12;RUB;1000000
03.10.2013;9866.92;9859.13;9927.86;9832.5;24316089071;;;2;5.90E+12;RUB;1000000
02.10.2013;9859.13;9982.14;10005.66;9824.83;26034597884;;;2;5.90E+12;RUB;1000000
01.10.2013;9982.14;9923.83;9991.64;9900.34;23677716434;;;2;5.97E+12;RUB;1000000
30.09.2013;9923.83;9984.08;10012.69;9857.19;24262316712;;;2;5.93E+12;RUB;1000000
27.09.2013;9984.08;10076.11;10083.3;9962.97;26421157795;;;2;5.97E+12;RUB;1000000
26.09.2013;10076.11;10039.81;10109.32;10005.13;26786894480;;;2;6.03E+12;RUB;1000000
25.09.2013;10039.81;9925.65;10039.81;9896.34;25386523017;;;2;6.00E+12;RUB;1000000
24.09.2013;9925.65;9958.87;9985.11;9888.76;26406216190;;;2;5.94E+12;RUB;1000000
23.09.2013;9958.87;10016.32;10061.29;9928.19;24672068715;;;2;5.96E+12;RUB;1000000
20.09.2013;10016.32;10080.37;10114.45;10013.45;29861588317;;;2;5.99E+12;RUB;1000000
19.09.2013;10080.37;9929.19;10182.35;9917.08;51221419138;;;2;6.03E+12;RUB;1000000
18.09.2013;9929.19;9989.33;10057.46;9914.14;33452998598;;;2;5.94E+12;RUB;1000000
17.09.2013;9989.33;9967.15;9990.33;9902.83;22366846442;;;2;5.97E+12;RUB;1000000
16.09.2013;9967.15;9765.39;9967.15;9750.48;40251002382;;;2;5.78E+12;RUB;1000000
13.09.2013;9765.39;9824.41;9833.57;9722.41;22815945732;;;2;5.67E+12;RUB;1000000
12.09.2013;9824.41;9854.15;9902.2;9768.17;30134313431;;;2;5.70E+12;RUB;1000000
11.09.2013;9854.15;9846;9888.76;9815.64;27329214160;;;2;5.72E+12;RUB;1000000
10.09.2013;9846;9844.49;9924.37;9794.75;46153804362;;;2;5.71E+12;RUB;1000000
09.09.2013;9844.49;9642.48;9866.91;9642.48;43692314246;;;2;5.71E+12;RUB;1000000
06.09.2013;9642.48;9627.68;9815.46;9588.88;49665556654;;;2;5.59E+12;RUB;1000000
05.09.2013;9627.68;9292.22;9627.68;9273.19;35792253655;;;2;5.59E+12;RUB;1000000
04.09.2013;9292.22;9283.08;9293.63;9219.49;15885715245;;;2;5.39E+12;RUB;1000000
03.09.2013;9283.08;9234.05;9349.12;9228.13;20755012136;;;2;5.39E+12;RUB;1000000
02.09.2013;9234.05;9208.07;9269.83;9208.07;11789927794;;;2;5.36E+12;RUB;1000000
30.08.2013;9208.07;9254.41;9278.67;9161.46;19847910236;;;2;5.34E+12;RUB;1000000
29.08.2013;9254.41;9240.15;9315.06;9217.16;17655724023;;;2;5.37E+12;RUB;1000000
28.08.2013;9240.15;9264.87;9291.76;9138.33;25460133624;;;2;5.36E+12;RUB;1000000
27.08.2013;9264.87;9356.29;9370.26;9223.08;21221901336;;;2;5.37E+12;RUB;1000000
26.08.2013;9356.29;9393.84;9467.56;9325.92;11064456182;;;2;5.43E+12;RUB;1000000
23.08.2013;9393.84;9416.55;9470.17;9388.75;18548437964;;;2;5.45E+12;RUB;1000000
