Date,ALRS.ME,CHMF.ME,FIVE.ME,GAZP.ME,GMKN.ME,LKOH.ME,MGNT.ME,MTSS.ME,NVTK.ME,ROSN.ME,SBER.ME,SNGS.ME,TATN.ME,VTBR.ME,YNDX.ME
2018-02-12,84.80000305175781,913.5,2100.5,137.3000030517578,11147.0,3656.5,4881.0,301.0,718.0,325.29998779296875,255.0500030517578,28.229999542236328,536.0,0.047120001167058945,2127.0
2018-02-13,85.9000015258789,941.5999755859375,2141.5,139.85000610351562,11500.0,3729.5,4860.0,304.0,719.0999755859375,325.3999938964844,258.29998779296875,28.450000762939453,549.75,0.04766999930143356,2135.0
2018-02-14,85.87999725341797,930.0,2150.5,138.88999938964844,11761.0,3709.0,4820.0,300.79998779296875,730.0,326.0,262.0299987792969,28.239999771118164,554.0,0.04769999906420708,2200.0
2018-02-15,85.31999969482422,949.2000122070312,2144.5,137.05999755859375,11785.0,3730.0,4850.0,304.0,741.7999877929688,324.29998779296875,264.5799865722656,28.264999389648438,560.0,0.04735000059008598,2283.5
2018-02-16,85.81999969482422,949.2000122070312,2130.0,137.05999755859375,10810.0,3751.0,4473.0,306.1499938964844,737.5999755859375,324.20001220703125,266.989990234375,28.5049991607666,569.0,0.04769999906420708,2371.5
2018-02-19,85.91000366210938,945.2999877929688,2079.5,138.30999755859375,11171.0,3715.0,4251.0,306.5,729.0999755859375,324.0,266.8500061035156,28.479999542236328,569.0499877929688,0.047449998557567596,2416.5
2018-02-20,86.0,940.0,1979.5,141.32000732421875,11060.0,3744.0,4588.0,307.3999938964844,728.0,322.0,267.2200012207031,28.415000915527344,574.7999877929688,0.04774000123143196,2413.0
2018-02-21,87.0,942.4000244140625,1958.0,144.0,11300.0,3808.5,4793.0,313.0,739.9000244140625,333.5,279.20001220703125,29.1200008392334,586.2999877929688,0.048900000751018524,2473.5
2018-02-22,87.38999938964844,933.2999877929688,1991.5,144.9499969482422,11379.0,3824.5,5187.0,312.54998779296875,733.5999755859375,336.79998779296875,277.3900146484375,29.229999542236328,597.8499755859375,0.05277999863028526,2438.0
2018-02-26,88.08999633789062,942.0999755859375,2013.0,146.4499969482422,11882.0,3829.0,4786.0,315.0,732.2000122070312,342.0,280.4700012207031,29.334999084472656,598.2000122070312,0.054349999874830246,2382.0
2018-02-27,88.80000305175781,939.7000122070312,2017.0,146.5,11550.0,3838.5,4882.0,316.1000061035156,735.0,337.5,278.2099914550781,29.1299991607666,606.2000122070312,0.05380000174045563,2386.0
2018-02-28,86.30000305175781,918.4000244140625,2015.0,143.16000366210938,11159.0,3776.5,4782.0,307.6000061035156,710.0,330.5,272.3999938964844,28.71500015258789,594.0,0.05276000127196312,2343.5
2018-03-01,86.2300033569336,914.0,2035.5,139.97999572753906,11185.0,3764.0,4983.0,308.1000061035156,732.0999755859375,323.75,275.25,28.3700008392334,595.6500244140625,0.052400000393390656,2304.5
2018-03-02,86.19999694824219,897.2999877929688,2000.5,138.57000732421875,11248.0,3749.5,5058.0,309.29998779296875,732.0,319.5,273.0,28.219999313354492,595.0,0.05240999907255173,2280.5
2018-03-05,88.5,903.2000122070312,2002.0,141.60000610351562,11199.0,3730.0,5130.0,315.0,736.4000244140625,320.5,277.0,28.645000457763672,600.4000244140625,0.05245999991893768,2347.5
2018-03-06,88.72000122070312,897.0,1943.5,140.58999633789062,11161.0,3744.0,5000.0,314.0,736.9000244140625,318.70001220703125,274.0299987792969,28.625,604.0,0.05299999937415123,2389.5
2018-03-07,89.30000305175781,891.0,1946.5,138.55999755859375,11160.0,3721.0,4973.0,313.25,729.2999877929688,315.0,274.0,28.299999237060547,595.25,0.05469999834895134,2427.5
2018-03-09,90.08999633789062,882.2999877929688,1963.5,139.36000061035156,10991.0,3755.5,5096.0,315.70001220703125,737.7999877929688,313.25,274.7099914550781,28.594999313354492,600.4000244140625,0.05626999959349632,2490.5
2018-03-12,91.08999633789062,886.0,1958.0,141.35000610351562,11157.0,3770.0,5154.0,313.5,744.7999877929688,314.70001220703125,274.29998779296875,29.149999618530273,606.7999877929688,0.055709999054670334,2450.0
2018-03-13,91.19999694824219,884.5,1910.0,142.75,11101.0,3773.0,5050.0,318.1499938964844,731.5999755859375,312.0,273.95001220703125,29.364999771118164,606.5,0.055799998342990875,2415.0
2018-03-14,90.44999694824219,895.0,1885.5,138.8000030517578,10881.0,3742.0,4970.0,313.0,726.7000122070312,310.3500061035156,262.5,29.170000076293945,602.9500122070312,0.05353999882936478,2430.5
2018-03-15,90.94999694824219,893.2000122070312,1942.0,138.3300018310547,10855.0,3787.0,5114.0,312.3500061035156,730.5,313.70001220703125,254.3000030517578,29.135000228881836,604.0,0.05378999933600426,2444.0
2018-03-16,93.81999969482422,907.0999755859375,1965.0,141.0,10927.0,3874.5,4957.0,316.8500061035156,747.0999755859375,319.29998779296875,256.1499938964844,29.40999984741211,613.25,0.05347999930381775,2436.0
2018-03-19,93.55999755859375,884.7999877929688,1915.0,139.91000366210938,10911.0,3815.0,4990.0,318.0,757.0,316.0,255.0,29.05500030517578,611.0,0.05339999869465828,2426.0
2018-03-20,93.29000091552734,867.4000244140625,1884.0,142.61000061035156,10941.0,3863.0,4942.0,309.54998779296875,762.7999877929688,317.8500061035156,256.6000061035156,29.274999618530273,618.25,0.05372999981045723,2453.0
2018-03-21,94.55000305175781,880.0999755859375,1920.0,141.50999450683594,10932.0,3874.0,4910.0,307.6499938964844,760.4000244140625,317.5,268.8800048828125,29.1299991607666,618.7999877929688,0.05400000140070915,2497.5
2018-03-22,93.3499984741211,877.7999877929688,1875.0,139.5,11003.0,3857.0,4800.0,300.1000061035156,748.7000122070312,316.1499938964844,265.5,28.80500030517578,616.75,0.05400000140070915,2385.0
2018-03-23,93.75,882.0,1858.0,142.0,10998.0,3874.5,4747.0,295.5,750.0,314.5,262.0,28.885000228881836,618.3499755859375,0.053279999643564224,2385.5
